Date,Product_Category,Region,Units_Sold,Revenue
2021-01-02,Beauty,Europe,115.0,2945.008079945611
2021-01-02,Beauty,Asia Pacific,153.0,13668.965867349323
2021-01-02,Beauty,Latin America,123.0,9386.09796545957
2021-01-02,Beauty,Middle East,139.0,16992.43818020942
2021-01-03,Electronics,North America,148.0,10815.840421973358
2021-01-03,Electronics,Europe,150.0,39251.882648973115
2021-01-03,Electronics,Asia Pacific,135.0,47102.02285224892
2021-01-03,Electronics,Latin America,187.0,83250.84855501808
2021-01-03,Electronics,Middle East,171.0,35831.0662838709
2021-01-03,Clothing,North America,79.0,15894.797007515868
2021-01-03,Clothing,Europe,94.0,21982.935390218074
2021-01-03,Clothing,Asia Pacific,73.0,7573.422714609962
2021-01-03,Clothing,Latin America,70.0,23886.21991076942
2021-01-03,Clothing,Middle East,95.0,21132.666234403496
2021-01-03,Home & Garden,North America,91.0,31308.407854499597
2021-01-03,Home & Garden,Europe,81.0,9571.54008198137
2021-01-03,Home & Garden,Asia Pacific,130.0,7410.239007472469
2021-01-03,Home & Garden,Latin America,102.0,31263.8824020837
2021-01-03,Home & Garden,Middle East,104.0,26305.69141181967
2021-01-03,Sports,North America,113.0,47606.79884940611
2021-01-03,Sports,Europe,102.0,21328.86611046334
2021-01-03,Sports,Asia Pacific,107.0,13343.450072125685
2021-01-03,Sports,Latin America,142.0,53811.2729539174
2021-01-03,Sports,Middle East,83.0,10645.061581349491
2021-01-03,Books,North America,114.0,10279.245618855957
2021-01-03,Books,Europe,106.0,37689.25710612832
2021-01-03,Books,Asia Pacific,120.0,55829.40618252637
2021-01-03,Books,Latin America,157.0,57273.580434735326
2021-01-03,Books,Middle East,143.0,15694.274200872176
2021-01-03,Beauty,North America,90.0,24379.464280526743
2021-01-03,Beauty,Europe,99.0,31061.450266524633
2021-01-03,Beauty,Asia Pacific,114.0,43716.465367818935
2021-01-03,Beauty,Latin America,136.0,10137.049710252199
2021-01-03,Beauty,Middle East,140.0,32067.74982373081
2021-01-04,Electronics,North America,136.0,36043.585789312514
2021-01-04,Electronics,Europe,127.0,6430.411506919714
2021-01-04,Electronics,Asia Pacific,96.0,35369.58176588717
2021-01-04,Electronics,Latin America,100.0,21251.406453889216
2021-01-04,Electronics,Middle East,151.0,17904.144899727507
2021-01-04,Clothing,North America,75.0,12035.065263172466
2021-01-04,Clothing,Europe,69.0,21976.70426759539
2021-01-04,Clothing,Asia Pacific,64.0,17235.247369446257
2021-01-04,Clothing,Latin America,64.0,1916.4578086654583
2021-01-04,Clothing,Middle East,72.0,14546.240124607475
2021-01-04,Home & Garden,North America,77.0,8960.133865915048
2021-01-04,Home & Garden,Europe,77.0,32966.51495096489
2021-01-04,Home & Garden,Asia Pacific,105.0,28567.97705684489
2021-01-04,Home & Garden,Latin America,78.0,13186.37229843982
2021-01-04,Home & Garden,Middle East,68.0,6309.06292875687
2021-01-04,Sports,North America,83.0,8347.139093230751
2021-01-04,Sports,Europe,64.0,12263.067797239733
2021-01-04,Sports,Asia Pacific,78.0,34123.23927043468
2021-01-04,Sports,Latin America,62.0,30395.689859032682
2021-01-04,Sports,Middle East,74.0,36900.59799432418
2021-01-04,Books,North America,95.0,14706.783305457586
2021-01-04,Books,Europe,84.0,5338.992948594467
2021-01-04,Books,Asia Pacific,68.0,26470.842479389063
2021-01-04,Books,Latin America,96.0,17544.357058469137
2021-01-04,Books,Middle East,77.0,34438.51128913036
2021-01-04,Beauty,North America,94.0,5880.600267362194
2021-01-04,Beauty,Europe,111.0,18271.298560706007
2021-01-04,Beauty,Asia Pacific,71.0,9888.415389906018
2021-01-04,Beauty,Latin America,88.0,14387.610168852425
2021-01-04,Beauty,Middle East,101.0,1097.7803054093063
2021-01-05,Electronics,North America,109.0,17765.513203377854
2021-01-05,Electronics,Europe,111.0,43862.02531297202
2021-01-05,Electronics,Asia Pacific,101.0,19148.54352604151
2021-01-05,Electronics,Latin America,83.0,37827.15135418968
2021-01-05,Electronics,Middle East,107.0,7836.706619080142
2021-01-05,Clothing,North America,83.0,11992.170000137674
2021-01-05,Clothing,Europe,61.0,6415.600292695261
2021-01-05,Clothing,Asia Pacific,61.0,4727.635367653285
2021-01-05,Clothing,Latin America,63.0,29676.63816200722
2021-01-05,Clothing,Middle East,,
2021-01-05,Home & Garden,North America,,
2021-01-05,Home & Garden,Europe,79.0,11227.484279942824
2021-01-05,Home & Garden,Asia Pacific,79.0,15790.858797750941
2021-01-05,Home & Garden,Latin America,67.0,23518.08017306126
2021-01-05,Home & Garden,Middle East,92.0,38881.3463632688
2021-01-05,Sports,North America,78.0,11797.220674605798
2021-01-05,Sports,Europe,63.0,2208.3049155905696
2021-01-05,Sports,Asia Pacific,100.0,30404.76161421777
2021-01-05,Sports,Latin America,70.0,10669.078933885918
2021-01-05,Sports,Middle East,70.0,5085.369052855445
2021-01-05,Books,North America,130.0,36921.098943629666
2021-01-05,Books,Europe,93.0,45249.80551715464
2021-01-05,Books,Asia Pacific,81.0,19742.97601242245
2021-01-05,Books,Latin America,,
2021-01-05,Books,Middle East,119.0,8269.58228691999
2021-01-05,Beauty,North America,117.0,9570.262868138007
2021-01-05,Beauty,Europe,76.0,33820.546561305295
2021-01-05,Beauty,Asia Pacific,80.0,18728.028206718503
2021-01-05,Beauty,Latin America,103.0,33744.81155585367
2021-01-05,Beauty,Middle East,73.0,26357.266821779132
2021-01-06,Electronics,North America,119.0,44022.352131880165
2021-01-06,Electronics,Europe,99.0,32097.588097725227
2021-01-06,Electronics,Asia Pacific,102.0,17641.771426401046
2021-01-06,Electronics,Latin America,,
2021-01-06,Electronics,Middle East,91.0,31511.05957244192
2021-01-06,Clothing,North America,63.0,1742.5550296020724
2021-01-06,Clothing,Europe,64.0,7436.733881841897
2021-01-06,Clothing,Asia Pacific,94.0,39260.93368740472
2021-01-06,Clothing,Latin America,54.0,619.7016802881045
2021-01-06,Clothing,Middle East,96.0,11721.865991761239
2021-01-06,Home & Garden,North America,93.0,1410.3097414189735
2021-01-06,Home & Garden,Europe,100.0,5522.596538472522
2021-01-06,Home & Garden,Asia Pacific,108.0,15199.801705689835
2021-01-06,Home & Garden,Latin America,72.0,21361.63962597431
2021-01-06,Home & Garden,Middle East,85.0,25121.894230425947
2021-01-06,Sports,North America,92.0,18764.085193139064
2021-01-06,Sports,Europe,82.0,13256.350184018584
2021-01-06,Sports,Asia Pacific,63.0,27834.09918299762
2021-01-06,Sports,Latin America,82.0,8673.598335330842
2021-01-06,Sports,Middle East,81.0,7429.671939102527
2021-01-06,Books,North America,106.0,2589.2591840670657
2021-01-06,Books,Europe,116.0,40567.01637341245
2021-01-06,Books,Asia Pacific,94.0,28516.45048599192
2021-01-06,Books,Latin America,75.0,9178.190529636602
2021-01-06,Books,Middle East,101.0,18269.729029062353
2021-01-06,Beauty,North America,92.0,45018.25938571869
2021-01-06,Beauty,Europe,99.0,46667.28208816477
2021-01-06,Beauty,Asia Pacific,94.0,2288.341255084672
2021-01-06,Beauty,Latin America,90.0,17492.519025542522
2021-01-06,Beauty,Middle East,85.0,5411.950324567134
2021-01-07,Electronics,North America,123.0,43467.81512321312
2021-01-07,Electronics,Europe,113.0,22052.750420758624
2021-01-07,Electronics,Asia Pacific,104.0,11322.915436477879
2021-01-07,Electronics,Latin America,85.0,28050.83110932952
2021-01-07,Electronics,Middle East,142.0,16908.032601880368
2021-01-07,Clothing,North America,99.0,48544.66251631016
2021-01-07,Clothing,Europe,100.0,3622.969967182568
2021-01-07,Clothing,Asia Pacific,72.0,31451.281865976885
2021-01-07,Clothing,Latin America,,
2021-01-07,Clothing,Middle East,65.0,29488.709030778362
2021-01-07,Home & Garden,North America,,
2021-01-07,Home & Garden,Europe,88.0,23271.699753217454
2021-01-07,Home & Garden,Asia Pacific,79.0,28358.740533256405
2021-01-07,Home & Garden,Latin America,99.0,23723.173211523663
2021-01-07,Home & Garden,Middle East,81.0,39929.011708867845
2021-01-07,Sports,North America,78.0,30647.30922272296
2021-01-07,Sports,Europe,92.0,7373.847229250854
2021-01-07,Sports,Asia Pacific,79.0,4959.78020936864
2021-01-07,Sports,Latin America,101.0,5171.304690979542
2021-01-07,Sports,Middle East,110.0,7926.192988446124
2021-01-07,Books,North America,83.0,13855.193918845427
2021-01-07,Books,Europe,88.0,28114.151229026927
2021-01-07,Books,Asia Pacific,120.0,31847.672252794073
2021-01-07,Books,Latin America,139.0,50803.60445829888
2021-01-07,Books,Middle East,98.0,12419.050293544158
2021-01-07,Beauty,North America,104.0,18255.38951022905
2021-01-07,Beauty,Europe,93.0,34853.61308522031
2021-01-07,Beauty,Asia Pacific,100.0,49250.268898521324
2021-01-07,Beauty,Latin America,121.0,52369.15653641649
2021-01-07,Beauty,Middle East,98.0,39493.02307808094
2021-01-08,Electronics,North America,118.0,41920.91721329131
2021-01-08,Electronics,Europe,172.0,41343.44693549214
2021-01-08,Electronics,Asia Pacific,105.0,15998.77136474465
2021-01-08,Electronics,Latin America,142.0,34013.9776595377
2021-01-08,Electronics,Middle East,153.0,61150.76430792476
2021-01-08,Clothing,North America,104.0,33634.553235105406
2021-01-08,Clothing,Europe,119.0,37911.06746010607
2021-01-08,Clothing,Asia Pacific,69.0,16534.528120966086
2021-01-08,Clothing,Latin America,97.0,21089.18081579577
2021-01-08,Clothing,Middle East,72.0,31644.079550439932
2021-01-08,Home & Garden,North America,105.0,49719.519441022785
2021-01-08,Home & Garden,Europe,98.0,18383.43336869568
2021-01-08,Home & Garden,Asia Pacific,139.0,17448.596244134067
2021-01-08,Home & Garden,Latin America,113.0,41444.61188837812
2021-01-08,Home & Garden,Middle East,,
2021-01-08,Sports,North America,92.0,38335.6774737784
2021-01-08,Sports,Europe,94.0,8555.177638161003
2021-01-08,Sports,Asia Pacific,125.0,35318.52142696011
2021-01-08,Sports,Latin America,106.0,39362.63235738331
2021-01-08,Sports,Middle East,94.0,18575.62720548939
2021-01-08,Books,North America,111.0,51895.39737753885
2021-01-08,Books,Europe,94.0,18427.83580136332
2021-01-08,Books,Asia Pacific,151.0,35675.11953757716
2021-01-08,Books,Latin America,142.0,70723.7759700994
2021-01-08,Books,Middle East,128.0,43569.02741452116
2021-01-08,Beauty,North America,84.0,36374.910655839834
2021-01-08,Beauty,Europe,100.0,46284.859077366214
2021-01-08,Beauty,Asia Pacific,96.0,12514.516836629875
2021-01-08,Beauty,Latin America,126.0,2857.3034792512167
2021-01-08,Beauty,Middle East,145.0,48560.45163590924
2021-01-09,Electronics,North America,187.0,69103.09456111479
2021-01-09,Electronics,Europe,151.0,6155.735131940742
2021-01-09,Electronics,Asia Pacific,130.0,6786.522497198224
2021-01-09,Electronics,Latin America,161.0,55876.147565915
2021-01-09,Electronics,Middle East,125.0,27266.934045436214
2021-01-09,Clothing,North America,120.0,44675.016983435096
2021-01-09,Clothing,Europe,114.0,37366.30768141073
2021-01-09,Clothing,Asia Pacific,70.0,18283.35778969303
2021-01-09,Clothing,Latin America,79.0,27346.601595865537
2021-01-09,Clothing,Middle East,106.0,11869.937881294383
2021-01-09,Home & Garden,North America,130.0,23756.74069389072
2021-01-09,Home & Garden,Europe,104.0,31397.584511744615
2021-01-09,Home & Garden,Asia Pacific,109.0,17390.179181791704
2021-01-09,Home & Garden,Latin America,,
2021-01-09,Home & Garden,Middle East,103.0,19649.47469758982
2021-01-09,Sports,North America,135.0,29600.352191738435
2021-01-09,Sports,Europe,108.0,40851.85737314919
2021-01-09,Sports,Asia Pacific,110.0,41532.16382009342
2021-01-09,Sports,Latin America,,
2021-01-09,Sports,Middle East,,
2021-01-09,Books,North America,161.0,73669.17853148523
2021-01-09,Books,Europe,125.0,59333.4746893182
2021-01-09,Books,Asia Pacific,151.0,69809.79152476913
2021-01-09,Books,Latin America,129.0,52332.452935004505
2021-01-09,Books,Middle East,154.0,63653.6458263872
2021-01-09,Beauty,North America,137.0,39770.63631722384
2021-01-09,Beauty,Europe,127.0,36699.528456474814
2021-01-09,Beauty,Asia Pacific,139.0,27778.344684201948
2021-01-09,Beauty,Latin America,124.0,16261.832855446499
2021-01-09,Beauty,Middle East,163.0,69009.79411994605
2021-01-10,Electronics,North America,122.0,59260.44071319265
2021-01-10,Electronics,Europe,195.0,33154.20512384428
2021-01-10,Electronics,Asia Pacific,136.0,26725.56108360477
2021-01-10,Electronics,Latin America,154.0,63866.714118160664
2021-01-10,Electronics,Middle East,171.0,52597.30777654232
2021-01-10,Clothing,North America,73.0,13834.141953759336
2021-01-10,Clothing,Europe,,
2021-01-10,Clothing,Asia Pacific,99.0,14525.977673105665
2021-01-10,Clothing,Latin America,109.0,8823.545762661899
2021-01-10,Clothing,Middle East,,
2021-01-10,Home & Garden,North America,115.0,42706.05604111577
2021-01-10,Home & Garden,Europe,,
2021-01-10,Home & Garden,Asia Pacific,79.0,7391.184841233595
2021-01-10,Home & Garden,Latin America,130.0,16221.308850851068
2021-01-10,Home & Garden,Middle East,131.0,51871.56514404599
2021-01-10,Sports,North America,76.0,8324.245695923606
2021-01-10,Sports,Europe,104.0,28627.653871764513
2021-01-10,Sports,Asia Pacific,128.0,19639.32933158835
2021-01-10,Sports,Latin America,113.0,3087.0707187819453
2021-01-10,Sports,Middle East,82.0,6504.945929410019
2021-01-10,Books,North America,117.0,58352.087030529496
2021-01-10,Books,Europe,,
2021-01-10,Books,Asia Pacific,137.0,1417.5412409147461
2021-01-10,Books,Latin America,120.0,19870.954836642628
2021-01-10,Books,Middle East,113.0,25945.132624062804
2021-01-10,Beauty,North America,119.0,41317.602174667176
2021-01-10,Beauty,Europe,125.0,50110.82210607852
2021-01-10,Beauty,Asia Pacific,108.0,8098.301049039432
2021-01-10,Beauty,Latin America,107.0,6002.815676063495
2021-01-10,Beauty,Middle East,120.0,49145.60388214541
2021-01-11,Electronics,North America,99.0,30310.22172018311
2021-01-11,Electronics,Europe,121.0,25765.619270491075
2021-01-11,Electronics,Asia Pacific,137.0,13611.127288418043
2021-01-11,Electronics,Latin America,84.0,23847.131524338936
2021-01-11,Electronics,Middle East,116.0,32663.721228013164
2021-01-11,Clothing,North America,80.0,19402.89057422251
2021-01-11,Clothing,Europe,63.0,6437.04332010662
2021-01-11,Clothing,Asia Pacific,84.0,22905.880436093456
2021-01-11,Clothing,Latin America,70.0,29621.667717367378
2021-01-11,Clothing,Middle East,63.0,17204.35404613395
2021-01-11,Home & Garden,North America,87.0,9153.833120963094
2021-01-11,Home & Garden,Europe,66.0,5701.457110305988
2021-01-11,Home & Garden,Asia Pacific,78.0,3762.5818010125577
2021-01-11,Home & Garden,Latin America,83.0,19077.52265368269
2021-01-11,Home & Garden,Middle East,75.0,29943.069641543443
2021-01-11,Sports,North America,89.0,40598.169930405165
2021-01-11,Sports,Europe,77.0,11700.585800157
2021-01-11,Sports,Asia Pacific,77.0,22378.30329626661
2021-01-11,Sports,Latin America,67.0,32723.787342158867
2021-01-11,Sports,Middle East,79.0,9308.24551452798
2021-01-11,Books,North America,98.0,2845.6125468591936
2021-01-11,Books,Europe,126.0,61791.432471967484
2021-01-11,Books,Asia Pacific,94.0,2177.185192783684
2021-01-11,Books,Latin America,98.0,15065.126130632994
2021-01-11,Books,Middle East,103.0,7762.491186443948
2021-01-11,Beauty,North America,117.0,23902.856370282036
2021-01-11,Beauty,Europe,91.0,25574.804267425134
2021-01-11,Beauty,Asia Pacific,82.0,39691.17643864447
2021-01-11,Beauty,Latin America,94.0,1820.156550748247
2021-01-11,Beauty,Middle East,124.0,53242.67250234386
2021-01-12,Electronics,North America,92.0,40497.177581113945
2021-01-12,Electronics,Europe,106.0,28966.803645348326
2021-01-12,Electronics,Asia Pacific,116.0,40340.16395193986
2021-01-12,Electronics,Latin America,91.0,26859.325380875784
2021-01-12,Electronics,Middle East,110.0,29176.42051822226
2021-01-12,Clothing,North America,81.0,37472.19376207832
2021-01-12,Clothing,Europe,68.0,4340.28373715161
2021-01-12,Clothing,Asia Pacific,99.0,36587.528078730924
2021-01-12,Clothing,Latin America,88.0,17210.445126682094
2021-01-12,Clothing,Middle East,81.0,31920.204501252112
2021-01-12,Home & Garden,North America,71.0,18524.54881285816
2021-01-12,Home & Garden,Europe,69.0,15071.61234830408
2021-01-12,Home & Garden,Asia Pacific,99.0,5747.954006285085
2021-01-12,Home & Garden,Latin America,76.0,32234.95221453626
2021-01-12,Home & Garden,Middle East,84.0,848.6042546627123
2021-01-12,Sports,North America,85.0,17069.20340248349
2021-01-12,Sports,Europe,73.0,28554.98327184494
2021-01-12,Sports,Asia Pacific,65.0,10060.914957757437
2021-01-12,Sports,Latin America,99.0,29400.530152647105
2021-01-12,Sports,Middle East,104.0,29591.43936881988
2021-01-12,Books,North America,94.0,16097.93046041163
2021-01-12,Books,Europe,76.0,21337.51066142786
2021-01-12,Books,Asia Pacific,121.0,29112.43180913803
2021-01-12,Books,Latin America,92.0,39665.94778884483
2021-01-12,Books,Middle East,81.0,19148.065890152826
2021-01-12,Beauty,North America,,
2021-01-12,Beauty,Europe,80.0,24304.11527901434
2021-01-12,Beauty,Asia Pacific,96.0,31695.33658558988
2021-01-12,Beauty,Latin America,80.0,29475.840233835937
2021-01-12,Beauty,Middle East,71.0,30775.320656404896
2021-01-13,Electronics,North America,97.0,43575.672900985934
2021-01-13,Electronics,Europe,143.0,68822.0573091999
2021-01-13,Electronics,Asia Pacific,118.0,16595.57486704549
2021-01-13,Electronics,Latin America,146.0,52750.50848861198
2021-01-13,Electronics,Middle East,99.0,22006.5055208149
2021-01-13,Clothing,North America,78.0,17826.778096030983
2021-01-13,Clothing,Europe,57.0,24907.56102836406
2021-01-13,Clothing,Asia Pacific,78.0,4693.555275139468
2021-01-13,Clothing,Latin America,86.0,20083.56998941954
2021-01-13,Clothing,Middle East,70.0,34977.61405273153
2021-01-13,Home & Garden,North America,,
2021-01-13,Home & Garden,Europe,109.0,6846.377437787423
2021-01-13,Home & Garden,Asia Pacific,111.0,10420.775809156517
2021-01-13,Home & Garden,Latin America,84.0,38777.814784752605
2021-01-13,Home & Garden,Middle East,87.0,24931.06495263863
2021-01-13,Sports,North America,69.0,18556.915731200876
2021-01-13,Sports,Europe,79.0,6800.481891806194
2021-01-13,Sports,Asia Pacific,75.0,18023.26254648382
2021-01-13,Sports,Latin America,69.0,25292.17015772074
2021-01-13,Sports,Middle East,73.0,2850.236709182618
2021-01-13,Books,North America,86.0,22058.03739388353
2021-01-13,Books,Europe,109.0,26485.944138656418
2021-01-13,Books,Asia Pacific,97.0,34439.664610585176
2021-01-13,Books,Latin America,111.0,24235.881371988457
2021-01-13,Books,Middle East,111.0,15588.97399116437
2021-01-13,Beauty,North America,105.0,8662.48651662597
2021-01-13,Beauty,Europe,97.0,31681.558930962838
2021-01-13,Beauty,Asia Pacific,64.0,7698.930317621233
2021-01-13,Beauty,Latin America,116.0,46612.032798962166
2021-01-13,Beauty,Middle East,136.0,63723.1152171041
2021-01-14,Electronics,North America,131.0,23312.654648274525
2021-01-14,Electronics,Europe,133.0,58186.603942296715
2021-01-14,Electronics,Asia Pacific,148.0,42904.968277551234
2021-01-14,Electronics,Latin America,142.0,57649.280932794405
2021-01-14,Electronics,Middle East,135.0,64019.64194072385
2021-01-14,Clothing,North America,85.0,29494.92561161742
2021-01-14,Clothing,Europe,78.0,34016.57968253375
2021-01-14,Clothing,Asia Pacific,84.0,35418.619031832925
2021-01-14,Clothing,Latin America,55.0,18573.192077378997
2021-01-14,Clothing,Middle East,75.0,13294.779460954578
2021-01-14,Home & Garden,North America,101.0,38660.75801496521
2021-01-14,Home & Garden,Europe,89.0,11660.158077651982
2021-01-14,Home & Garden,Asia Pacific,85.0,28964.933654157136
2021-01-14,Home & Garden,Latin America,78.0,31671.182045252423
2021-01-14,Home & Garden,Middle East,117.0,28095.26115495337
2021-01-14,Sports,North America,93.0,6060.211420103795
2021-01-14,Sports,Europe,,
2021-01-14,Sports,Asia Pacific,89.0,8744.98467200861
2021-01-14,Sports,Latin America,66.0,1562.333997879255
2021-01-14,Sports,Middle East,81.0,23133.40573443755
2021-01-14,Books,North America,,
2021-01-14,Books,Europe,98.0,40429.85419153889
2021-01-14,Books,Asia Pacific,92.0,30124.415555757023
2021-01-14,Books,Latin America,121.0,25245.35823130479
2021-01-14,Books,Middle East,101.0,13559.812486718622
2021-01-14,Beauty,North America,89.0,43907.85115567748
2021-01-14,Beauty,Europe,111.0,15777.034662075477
2021-01-14,Beauty,Asia Pacific,72.0,946.5063508552253
2021-01-14,Beauty,Latin America,81.0,8963.801458876162
2021-01-14,Beauty,Middle East,135.0,11271.805881492925
2021-01-15,Electronics,North America,113.0,38057.55131464955
2021-01-15,Electronics,Europe,105.0,26686.375915379478
2021-01-15,Electronics,Asia Pacific,144.0,55710.7292770778
2021-01-15,Electronics,Latin America,184.0,29806.79900722021
2021-01-15,Electronics,Middle East,182.0,48899.041357001224
2021-01-15,Clothing,North America,80.0,16886.957816009348
2021-01-15,Clothing,Europe,97.0,9748.286500376795
2021-01-15,Clothing,Asia Pacific,94.0,22655.489001031863
2021-01-15,Clothing,Latin America,107.0,3252.381845235782
2021-01-15,Clothing,Middle East,74.0,8740.167645104946
2021-01-15,Home & Garden,North America,120.0,41872.982680272355
2021-01-15,Home & Garden,Europe,95.0,2594.9619379815426
2021-01-15,Home & Garden,Asia Pacific,105.0,32294.117227666182
2021-01-15,Home & Garden,Latin America,106.0,22180.422833675188
2021-01-15,Home & Garden,Middle East,107.0,40037.61073382095
2021-01-15,Sports,North America,115.0,24938.612305345945
2021-01-15,Sports,Europe,89.0,11251.340299384836
2021-01-15,Sports,Asia Pacific,89.0,3872.807210810195
2021-01-15,Sports,Latin America,79.0,32011.03971259692
2021-01-15,Sports,Middle East,98.0,28737.253829663587
2021-01-15,Books,North America,125.0,46316.13243038831
2021-01-15,Books,Europe,104.0,4758.217872560828
2021-01-15,Books,Asia Pacific,117.0,16514.070293746245
2021-01-15,Books,Latin America,122.0,53967.53778161595
2021-01-15,Books,Middle East,99.0,33778.691345910614
2021-01-15,Beauty,North America,118.0,25414.597301468642
2021-01-15,Beauty,Europe,116.0,18596.29681090794
2021-01-15,Beauty,Asia Pacific,126.0,47419.49844294916
2021-01-15,Beauty,Latin America,143.0,40237.11613212537
2021-01-15,Beauty,Middle East,110.0,28197.34602551061
2021-01-16,Electronics,North America,154.0,74350.84443566197
2021-01-16,Electronics,Europe,159.0,75546.37352882948
2021-01-16,Electronics,Asia Pacific,145.0,65413.03108346997
2021-01-16,Electronics,Latin America,167.0,43543.88663404565
2021-01-16,Electronics,Middle East,,
2021-01-16,Clothing,North America,76.0,18754.017131450026
2021-01-16,Clothing,Europe,90.0,3209.4914401516667
2021-01-16,Clothing,Asia Pacific,109.0,43535.20817887115
2021-01-16,Clothing,Latin America,126.0,47144.08457144091
2021-01-16,Clothing,Middle East,94.0,13586.8148931102
2021-01-16,Home & Garden,North America,111.0,29450.30155661646
2021-01-16,Home & Garden,Europe,91.0,11475.97057647025
2021-01-16,Home & Garden,Asia Pacific,88.0,2994.9322391729975
2021-01-16,Home & Garden,Latin America,145.0,21841.098166940254
2021-01-16,Home & Garden,Middle East,116.0,16539.232072835533
2021-01-16,Sports,North America,121.0,42965.35235443953
2021-01-16,Sports,Europe,,
2021-01-16,Sports,Asia Pacific,79.0,6984.504041897914
2021-01-16,Sports,Latin America,99.0,31892.42722550125
2021-01-16,Sports,Middle East,145.0,35362.32871080223
2021-01-16,Books,North America,119.0,49435.87968984846
2021-01-16,Books,Europe,142.0,48800.96435041234
2021-01-16,Books,Asia Pacific,149.0,60348.99588247995
2021-01-16,Books,Latin America,152.0,68176.28013703544
2021-01-16,Books,Middle East,176.0,38850.20940686624
2021-01-16,Beauty,North America,119.0,23420.308693269868
2021-01-16,Beauty,Europe,156.0,68724.89331180618
2021-01-16,Beauty,Asia Pacific,124.0,19739.18052617612
2021-01-16,Beauty,Latin America,134.0,55985.86563903225
2021-01-16,Beauty,Middle East,138.0,20824.708588316324
2021-01-17,Electronics,North America,161.0,14042.145598102456
2021-01-17,Electronics,Europe,160.0,42075.779191147165
2021-01-17,Electronics,Asia Pacific,154.0,70878.83717663687
2021-01-17,Electronics,Latin America,157.0,34571.11032011479
2021-01-17,Electronics,Middle East,150.0,26497.720138091947
2021-01-17,Clothing,North America,,
2021-01-17,Clothing,Europe,111.0,3413.109388262744
2021-01-17,Clothing,Asia Pacific,97.0,25245.39361813
2021-01-17,Clothing,Latin America,118.0,56254.83475769864
2021-01-17,Clothing,Middle East,121.0,47285.7293593282
2021-01-17,Home & Garden,North America,131.0,20178.61319077634
